Problem:    production
Rows:       513
Columns:    372 (120 integer, 120 binary)
Non-zeros:  1212
Status:     INTEGER OPTIMAL
Objective:  f = 368 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f                         368                             
     2 stock_initial[1]
                                   6             6             = 
     3 stock_initial[2]
                                   8             8             = 
     4 stock_initial[3]
                                   6             6             = 
     5 stock_initial[4]
                                   6             6             = 
     6 stock_initial[5]
                                   4             4             = 
     7 stock_initial[6]
                                   5             5             = 
     8 stock_initial[7]
                                   8             8             = 
     9 stock_initial[8]
                                   6             6             = 
    10 stock_initial[9]
                                   5             5             = 
    11 stock_initial[10]
                                   5             5             = 
    12 stock_initial[11]
                                   5             5             = 
    13 stock_initial[12]
                                   7             7             = 
   379 production_positive[11,6]
                                   6            -0               
   380 production_positive[11,7]
                                   6            -0               
   381 production_positive[11,8]
                                   8            -0               
   382 production_positive[11,9]
                                   0            -0               
   383 production_positive[11,10]
                                   4            -0               
   384 production_positive[12,1]
                                   0            -0               
   385 production_positive[12,2]
                                   0            -0               
   386 production_positive[12,3]
                                   0            -0               
   387 production_positive[12,4]
                                   3            -0               
   388 production_positive[12,5]
                                   3            -0               
   389 production_positive[12,6]
                                   3            -0               
   390 production_positive[12,7]
                                   2            -0               
   391 production_positive[12,8]
                                   5            -0               
   392 production_positive[12,9]
                                   7            -0               
   393 production_positive[12,10]
                                   3            -0               
   394 stocks_positifs[1,1]
                                   2            -0               
   395 stocks_positifs[1,2]
                                  15            -0               
   396 stocks_positifs[1,3]
                                  13            -0               
   397 stocks_positifs[1,4]
                                   8            -0               
   398 stocks_positifs[1,5]
                                   0            -0               
   399 stocks_positifs[1,6]
                                   4            -0               
   400 stocks_positifs[1,7]
                                   3            -0               
   401 stocks_positifs[1,8]
                                   2            -0               
   402 stocks_positifs[1,9]
                                   2            -0               
   403 stocks_positifs[1,10]
                                   0            -0               
   404 stocks_positifs[2,1]
                                   5            -0               
   405 stocks_positifs[2,2]
                                   4            -0               
   406 stocks_positifs[2,3]
                                   1            -0               
   407 stocks_positifs[2,4]
                                   2            -0               
   408 stocks_positifs[2,5]
                                   0            -0               
   409 stocks_positifs[2,6]
                                   0            -0               
   410 stocks_positifs[2,7]
                                   0            -0               
   411 stocks_positifs[2,8]
                                   3            -0               
   412 stocks_positifs[2,9]
                                   1            -0               
   413 stocks_positifs[2,10]
                                   0            -0               
   414 stocks_positifs[3,1]
                                   2            -0               
   415 stocks_positifs[3,2]
                                   0            -0               
   416 stocks_positifs[3,3]
                                   7            -0               
   417 stocks_positifs[3,4]
                                   3            -0               
   418 stocks_positifs[3,5]
                                   0            -0               
   419 stocks_positifs[3,6]
                                   0            -0               
   420 stocks_positifs[3,7]
                                   3            -0               
   421 stocks_positifs[3,8]
                                   0            -0               
   422 stocks_positifs[3,9]
                                   0            -0               
   423 stocks_positifs[3,10]
                                   0            -0               
   424 stocks_positifs[4,1]
                                   5            -0               
   425 stocks_positifs[4,2]
                                   0            -0               
   426 stocks_positifs[4,3]
                                   9            -0               
   427 stocks_positifs[4,4]
                                   1            -0               
   428 stocks_positifs[4,5]
                                   0            -0               
   429 stocks_positifs[4,6]
                                   1            -0               
   430 stocks_positifs[4,7]
                                   0            -0               
   431 stocks_positifs[4,8]
                                   0            -0               
   432 stocks_positifs[4,9]
                                   2            -0               
   433 stocks_positifs[4,10]
                                   0            -0               
   434 stocks_positifs[5,1]
                                   0            -0               
   435 stocks_positifs[5,2]
                                   0            -0               
   436 stocks_positifs[5,3]
                                   0            -0               
   437 stocks_positifs[5,4]
                                   0            -0               
